"term","odds_ratio","conf.low","conf.high","p.value"
"(Intercept)",0.309035224130141,0.26083331763273,0.365633892844999,2.65120387647156e-42
"Income-to-poverty ratio",0.784854910021774,0.759569789324773,0.810717159826732,4.09576720259962e-48
"Age",0.981420836260692,0.978404516247534,0.984429609755546,4.75635047384267e-33
"Female (vs Male)",1.42172147386743,1.29006178692477,1.56764268348752,1.45642278789979e-12
"Number of chronic conditions",1.51123551726534,1.45190654637009,1.57312765729279,1.18218300541969e-90
"Uninsured",0.92353412191503,0.802114631114682,1.06044211576849,0.263900608788662
